"","employee_residence","company_location","count","lat_employee","long_employee","lat_company","long_company"
"1","India","United States",20,23.3933698213776,83.5140031505479,48.7433333759119,-121.625310071961
"2","Argentina","United States",9,-37.6593403637237,-65.4593902455716,48.7433333759119,-121.625310071961
"3","Canada","United States",9,65.2931221012915,-89.7561759006016,48.7433333759119,-121.625310071961
"4","Germany","United States",9,51.2046085478554,10.4011560552557,48.7433333759119,-121.625310071961
"5","Spain","United States",9,40.6799529790878,-2.90682090616818,48.7433333759119,-121.625310071961
"6","Belgium","United States",6,50.5906272841377,4.73210363007762,48.7433333759119,-121.625310071961
"7","Bolivia","United States",6,-16.5572503673973,-65.124395708148,48.7433333759119,-121.625310071961
"8","Brazil","United States",6,-9.80237464027366,-55.280567994864,48.7433333759119,-121.625310071961
"9","France","United Kingdom",6,46.166861050188,3.22697920310042,55.5581316630046,-4.09875010597435
"10","India","American Samoa",6,23.3933698213776,83.5140031505479,-14.307079911232,-170.707612991333
"11","Italy","Germany",6,42.1659824923549,11.7528526644143,51.2046085478554,10.4011560552557
"12","Italy","United States",6,42.1659824923549,11.7528526644143,48.7433333759119,-121.625310071961
"13","Pakistan","Australia",6,30.175477246687,69.8040459427441,-25.1829968212449,136.998543415789
"14","Pakistan","Germany",6,30.175477246687,69.8040459427441,51.2046085478554,10.4011560552557
"15","Philippines","United States",6,11.4572961384337,122.680671396086,48.7433333759119,-121.625310071961
"16","Portugal","United States",6,39.9308394770468,-7.88703512632719,48.7433333759119,-121.625310071961
"17","United States","Canada",6,48.7433333759119,-121.625310071961,65.2931221012915,-89.7561759006016
"18","Uzbekistan","United States",6,41.1948054783965,66.0713482164357,48.7433333759119,-121.625310071961
"19","India","Germany",5,23.3933698213776,83.5140031505479,51.2046085478554,10.4011560552557
"20","Russia","United States",4,63.5447605943304,99.1667836484683,48.7433333759119,-121.625310071961
"21","American Samoa","Bahamas",3,-14.307079911232,-170.707612991333,24.2110943580741,-76.0928457459407
"22","Argentina","Mexico",3,-37.6593403637237,-65.4593902455716,24.2114148623838,-103.598038343608
"23","Australia","Finland",3,-25.1829968212449,136.998543415789,63.9511946496112,24.4302235083906
"24","Australia","Pakistan",3,-25.1829968212449,136.998543415789,30.175477246687,69.8040459427441
"25","Austria","Germany",3,47.5797318991493,13.4733656855191,51.2046085478554,10.4011560552557
"26","Bulgaria","United States",3,42.6248570447528,24.9640957070463,48.7433333759119,-121.625310071961
"27","Canada","France",3,65.2931221012915,-89.7561759006016,46.166861050188,3.22697920310042
"28","Chile","United States",3,-44.840644915344,-72.3106027490952,48.7433333759119,-121.625310071961
"29","China","United States",3,35.082435437586,106.847574829439,48.7433333759119,-121.625310071961
"30","Costa Rica","United States",3,9.75601683881946,-84.0399375284525,48.7433333759119,-121.625310071961
"31","Croatia","Germany",3,44.6420402118866,16.3487858568283,51.2046085478554,10.4011560552557
"32","Cyprus","Estonia",3,35.063839263916,33.3503076934814,58.5349385775053,24.5947561215132
"33","Dominican Republic","France",3,18.8251788105283,-70.5055794715881,46.166861050188,3.22697920310042
"34","Egypt","United States",3,27.6763009761162,30.7931735977354,48.7433333759119,-121.625310071961
"35","France","Germany",3,46.166861050188,3.22697920310042,51.2046085478554,10.4011560552557
"36","France","Luxembourg",3,46.166861050188,3.22697920310042,49.7626318724259,6.06234932982403
"37","France","Spain",3,46.166861050188,3.22697920310042,40.6799529790878,-2.90682090616818
"38","France","United States",3,46.166861050188,3.22697920310042,48.7433333759119,-121.625310071961
"39","Germany","Austria",3,51.2046085478554,10.4011560552557,47.5797318991493,13.4733656855191
"40","Germany","Sweden",3,51.2046085478554,10.4011560552557,61.8959092305844,17.5763054231769
"41","Ghana","United States",3,8.32127239956834,-1.05899270214698,48.7433333759119,-121.625310071961
"42","Greece","Denmark",3,38.3587526711973,23.9405368813198,55.7047330613104,10.731254580837
"43","Greece","United States",3,38.3587526711973,23.9405368813198,48.7433333759119,-121.625310071961
"44","Hong Kong","United Kingdom",3,22.3193,114.1694,55.5581316630046,-4.09875010597435
"45","India","Australia",3,23.3933698213776,83.5140031505479,-25.1829968212449,136.998543415789
"46","Italy","Netherlands",3,42.1659824923549,11.7528526644143,52.0990468694809,5.32230224846103
"47","Italy","Poland",3,42.1659824923549,11.7528526644143,51.4099779370465,19.0865157193775
"48","Italy","United Kingdom",3,42.1659824923549,11.7528526644143,55.5581316630046,-4.09875010597435
"49","Japan","Malaysia",3,35.4739283054877,135.292383581699,3.96919089977306,110.860331192466
"50","Jersey","China",3,49.2095591227214,-2.09958224826389,35.082435437586,106.847574829439
"51","Kuwait","United States",3,29.4459771682967,47.8151685230768,48.7433333759119,-121.625310071961
"52","Malaysia","United States",3,3.96919089977306,110.860331192466,48.7433333759119,-121.625310071961
"53","Moldova","Israel",3,47.0632795295459,28.5453013861739,31.8765000479562,35.2103470211937
"54","Netherlands","Canada",3,52.0990468694809,5.32230224846103,65.2931221012915,-89.7561759006016
"55","Netherlands","Germany",3,52.0990468694809,5.32230224846103,51.2046085478554,10.4011560552557
"56","Nigeria","Australia",3,8.55347138184768,7.75185225691114,-25.1829968212449,136.998543415789
"57","Nigeria","Canada",3,8.55347138184768,7.75185225691114,65.2931221012915,-89.7561759006016
"58","Nigeria","United States",3,8.55347138184768,7.75185225691114,48.7433333759119,-121.625310071961
"59","Peru","Portugal",3,-7.44572269955116,-73.975376627846,39.9308394770468,-7.88703512632719
"60","Philippines","Czechia",3,11.4572961384337,122.680671396086,49.8840390205383,15.4237768093745
"61","Poland","Denmark",3,51.4099779370465,19.0865157193775,55.7047330613104,10.731254580837
"62","Poland","India",3,51.4099779370465,19.0865157193775,23.3933698213776,83.5140031505479
"63","Poland","United Kingdom",3,51.4099779370465,19.0865157193775,55.5581316630046,-4.09875010597435
"64","Portugal","Spain",3,39.9308394770468,-7.88703512632719,40.6799529790878,-2.90682090616818
"65","Puerto Rico","United States",3,18.1731291231902,-66.7493125804956,48.7433333759119,-121.625310071961
"66","Romania","United Kingdom",3,45.8446484725841,24.5292120675971,55.5581316630046,-4.09875010597435
"67","Romania","United States",3,45.8446484725841,24.5292120675971,48.7433333759119,-121.625310071961
"68","Serbia","Germany",3,44.2524472068758,20.7511689761158,51.2046085478554,10.4011560552557
"69","Singapore","Israel",3,1.36641702387068,103.866559346517,31.8765000479562,35.2103470211937
"70","Spain","Gibraltar",3,40.6799529790878,-2.90682090616818,36.1408,5.3536
"71","Spain","Romania",3,40.6799529790878,-2.90682090616818,45.8446484725841,24.5292120675971
"72","Spain","United Kingdom",3,40.6799529790878,-2.90682090616818,55.5581316630046,-4.09875010597435
"73","Thailand","United States",3,13.2486541757947,100.709482173194,48.7433333759119,-121.625310071961
"74","Tunisia","Czechia",3,34.2188042466358,9.90426644971294,49.8840390205383,15.4237768093745
"75","Tunisia","United States",3,34.2188042466358,9.90426644971294,48.7433333759119,-121.625310071961
"76","Turkey","Poland",3,39.0660808671836,34.2949285303571,51.4099779370465,19.0865157193775
"77","Turkey","United States",3,39.0660808671836,34.2949285303571,48.7433333759119,-121.625310071961
"78","Uganda","United States",3,1.38492426552499,32.1278899722629,48.7433333759119,-121.625310071961
"79","Ukraine","Netherlands",3,48.4791987089984,31.2336948164093,52.0990468694809,5.32230224846103
"80","United Kingdom","Canada",3,55.5581316630046,-4.09875010597435,65.2931221012915,-89.7561759006016
"81","United States","Australia",3,48.7433333759119,-121.625310071961,-25.1829968212449,136.998543415789
"82","United States","France",3,48.7433333759119,-121.625310071961,46.166861050188,3.22697920310042
"83","United States","Germany",3,48.7433333759119,-121.625310071961,51.2046085478554,10.4011560552557
"84","United States","Japan",3,48.7433333759119,-121.625310071961,35.4739283054877,135.292383581699
"85","Vietnam","United Kingdom",3,16.5251135678315,106.111408476339,55.5581316630046,-4.09875010597435
"86","Vietnam","United States",3,16.5251135678315,106.111408476339,48.7433333759119,-121.625310071961
"87","Armenia","Russia",2,40.210920621271,45.2330424687634,63.5447605943304,99.1667836484683
"88","Czechia","Canada",2,49.8840390205383,15.4237768093745,65.2931221012915,-89.7561759006016
"89","Georgia","Russia",2,42.0642349429247,43.8700507559427,63.5447605943304,99.1667836484683
"90","Hungary","United States",2,47.2322648663387,19.4239312822574,48.7433333759119,-121.625310071961
"91","India","Indonesia",2,23.3933698213776,83.5140031505479,-2.99608052146839,119.475746047994
"92","India","Singapore",2,23.3933698213776,83.5140031505479,1.36641702387068,103.866559346517
"93","India","Switzerland",2,23.3933698213776,83.5140031505479,46.7415661327342,8.31295225582021
"94","Pakistan","Luxembourg",2,30.175477246687,69.8040459427441,49.7626318724259,6.06234932982403
